Time	Magnet_I_(A)	Magnet_V	B_digital_(T)	B_analog_(T)	moment_(emu)	Hall_voltage	Setpoint_A_(K)	Setpoint_B_(K)	R_A_(Ohm)	R_B_(Ohm)	Main_Heater_(%P)	Secondary_Heater_(%P)	T_VTI_(K)	sensor_B_(K)	sense_phase	sense_amplitude	lock-in_X	lock-in_Y	1st_stage	2nd_stage	Magnet	Switch	He_Pot	Charcoal	Vibrator_ampl.	Vibrator_offset	monitor
4.13949E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.12605E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.24182E+0	3.61714E-1	-1.75838E-7	-5.53605E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79762E+0	3.91666E-4	5.51561E-3
4.13950E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.15245E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.26648E+0	3.61616E-1	-1.77310E-7	-4.82515E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79729E+0	4.00343E-4	1.07600E-2
4.13968E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.21711E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.28468E+0	3.61651E-1	-1.80912E-7	-3.42845E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79729E+0	4.17427E-4	2.50232E-3
4.13988E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.18722E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.28866E+0	3.61673E-1	-1.79246E-7	-8.03902E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79720E+0	4.13486E-4	1.11800E-2
4.14008E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.11736E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.27994E+0	3.61561E-1	-1.75327E-7	-5.39105E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79710E+0	4.05188E-4	9.43790E-3
4.14028E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.23262E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.28920E+0	3.61571E-1	-1.81767E-7	-4.03246E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79714E+0	4.12365E-4	7.21474E-3
4.14048E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.28514E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.24975E+0	3.61645E-1	-1.84713E-7	-9.43685E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79741E+0	4.03043E-4	9.22395E-3
4.14068E+4	8.26239E+1	1.70000E+0	6.99990E+0	5.81186E+0	-3.17124E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.26011E+0	3.61708E-1	-1.78338E-7	-8.40769E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79736E+0	4.04485E-4	7.28106E-3
4.14088E+4	8.25462E+1	1.70000E+0	6.99331E+0	5.81186E+0	-3.12224E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.24212E+0	3.61803E-1	-1.75614E-7	-3.67855E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79781E+0	4.25252E-4	1.30432E-3
4.14108E+4	8.25126E+1	1.50080E+0	6.99059E+0	5.81186E+0	-3.12242E-5	1.19230E+3	2.95000E+2	3.00000E+2	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	0.00000E+0	9.20655E+0	3.61724E-1	-1.75667E-7	-4.01202E-9	3.53890E+1	3.72300E+0	3.85800E+0	6.81300E+0	3.67100E+0	3.52310E+1	3.79800E+0	4.02465E-4	6.90500E-3
